original_title,recommend_movie
The Dark Knight,"
Recommended Movies: 
The Dark Knight | Genres: 'Action','Crime','Drama','Thriller' | Rating: 8.2
Batman Begins | Genres: 'Action','Crime','Drama' | Rating: 7.5
The Prestige | Genres: 'Drama','Mystery','Thriller' | Rating: 8.0
Insomnia | Genres: 'Crime','Mystery','Thriller' | Rating: 6.8
Inception | Genres: 'Action','Adventure','Mystery','ScienceFiction','Thriller' | Rating: 8.1
Memento | Genres: 'Mystery','Thriller' | Rating: 8.1
Interstellar | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 8.1
Takers | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.0
Mercury Rising | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.0
Harry Brown | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.7
"
Up,"
Recommended Movies: 
Monsters, Inc. | Genres: 'Animation','Comedy','Family' | Rating: 7.5
Inside Out | Genres: 'Animation','Comedy','Drama','Family' | Rating: 8.0
The Pirates! In an Adventure with Scientists! | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.4
Yogi Bear | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.2
The Road to El Dorado | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 7.0
Kung Fu Panda | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.9
The Nut Job | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.5
The Curse of the Were-Rabbit | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.8
Cars | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.6
Fantastic Mr. Fox | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 7.5
"
Monsters vs Aliens,"
Recommended Movies: 
Lost in Space | Genres: 'Adventure','Family','ScienceFiction' | Rating: 5.0
Earth to Echo | Genres: 'Adventure','Family','ScienceFiction' | Rating: 5.7
Planet 51 | Genres: 'Adventure','Animation','Comedy','Family','ScienceFiction' | Rating: 5.6
Atlantis: The Lost Empire | Genres: 'Adventure','Animation','Family','ScienceFiction' | Rating: 6.7
Mulan | Genres: 'Adventure','Animation','Family' | Rating: 7.6
La véritable histoire du Chat Botté | Genres: 'Adventure','Animation','Family' | Rating: 3.8
The Land Before Time | Genres: 'Adventure','Animation','Family' | Rating: 7.0
Treasure Planet | Genres: 'Adventure','Animation','Family','Fantasy','ScienceFiction' | Rating: 7.2
Walking With Dinosaurs | Genres: 'Adventure','Animation','Family' | Rating: 5.2
Titan A.E. | Genres: 'Action','Adventure','Animation','Family','ScienceFiction' | Rating: 6.3
"
Iron Man,"
Recommended Movies: 
Kiss Kiss Bang Bang | Genres: 'Action','Comedy','Crime','Mystery' | Rating: 7.2
Iron Man 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Pacific Rim | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Blood of Heroes | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.9
"
Hugo,"
Recommended Movies: 
Kundun | Genres: 'Drama' | Rating: 6.8
Bringing Out the Dead | Genres: 'Drama' | Rating: 6.6
The Aviator | Genres: 'Drama' | Rating: 7.0
The Color of Money | Genres: 'Drama' | Rating: 6.7
The Last Temptation of Christ | Genres: 'Drama' | Rating: 7.0
Raging Bull | Genres: 'Drama' | Rating: 7.7
The Age of Innocence | Genres: 'Drama','Romance' | Rating: 7.0
Shutter Island | Genres: 'Drama','Mystery','Thriller' | Rating: 7.8
New York, New York | Genres: 'Drama','Music','Romance' | Rating: 6.1
Taxi Driver | Genres: 'Crime','Drama' | Rating: 8.0
"
Wild Wild West,"
Recommended Movies: 
Men in Black II | Genres: 'Action','Adventure','Comedy','ScienceFiction' | Rating: 6.0
Men in Black | Genres: 'Action','Adventure','Comedy','ScienceFiction' | Rating: 6.9
Men in Black 3 | Genres: 'Action','Comedy','ScienceFiction' | Rating: 6.2
Big Trouble | Genres: 'Action','Comedy','Thriller' | Rating: 6.3
Get Shorty | Genres: 'Comedy','Crime','Thriller' | Rating: 6.4
The Addams Family | Genres: 'Comedy','Fantasy','Horror' | Rating: 6.7
The Helix... Loaded | Genres: 'Action','Comedy','ScienceFiction' | Rating: 4.8
X-Men | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
Megaforce | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.5
Small Soldiers | Genres: 'Action','Adventure','Comedy','Fantasy','ScienceFiction' | Rating: 6.2
"
The Mummy: Tomb of the Dragon Emperor,"
Recommended Movies: 
Daylight | Genres: 'Action','Adventure','Thriller' | Rating: 5.8
Stealth | Genres: 'Action' | Rating: 4.9
DragonHeart | Genres: 'Fantasy' | Rating: 6.4
xXx | Genres: 'Action','Adventure','Thriller' | Rating: 5.8
The Fast and the Furious | Genres: 'Action','Crime','Thriller' | Rating: 6.6
Alex Cross | Genres: 'Action','Crime','Mystery','Thriller' | Rating: 5.1
The Skulls | Genres: 'Crime','Drama','Thriller' | Rating: 5.8
The Boy Next Door | Genres: 'Thriller' | Rating: 4.1
The Mummy Returns | Genres: 'Action','Adventure','Fantasy' | Rating: 6.0
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
"
Suicide Squad,"
Recommended Movies: 
Sabotage | Genres: 'Action','Crime','Drama','Thriller' | Rating: 5.5
Street Kings | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.3
Harsh Times | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.3
Fury | Genres: 'Action','Drama','War' | Rating: 7.4
End of Watch | Genres: 'Crime','Drama','Thriller' | Rating: 7.2
Beastmaster 2: Through the Portal of Time | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 4.6
Superman Returns | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 5.4
Man of Steel | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
Superman | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.9
Avatar | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 7.2
"
Evan Almighty,"
Recommended Movies: 
Bruce Almighty | Genres: 'Comedy','Fantasy' | Rating: 6.4
The Nutty Professor | Genres: 'Comedy','Fantasy','Romance','ScienceFiction' | Rating: 5.4
Liar Liar | Genres: 'Comedy' | Rating: 6.4
Patch Adams | Genres: 'Comedy','Drama' | Rating: 7.0
Ace Ventura: Pet Detective | Genres: 'Comedy','Mystery' | Rating: 6.4
Dragonfly | Genres: 'Drama' | Rating: 6.1
Zoom | Genres: 'Comedy','Family','Fantasy' | Rating: 4.9
Charlotte's Web | Genres: 'Comedy','Family','Fantasy' | Rating: 5.8
Casper | Genres: 'Comedy','Family','Fantasy' | Rating: 6.0
How the Grinch Stole Christmas | Genres: 'Comedy','Family','Fantasy' | Rating: 6.2
"
Edge of Tomorrow,"
Recommended Movies: 
Jumper | Genres: 'Adventure','Fantasy','ScienceFiction' | Rating: 5.9
Mr. & Mrs. Smith | Genres: 'Action','Comedy','Drama','Thriller' | Rating: 6.5
The Bourne Identity | Genres: 'Action','Drama','Mystery','Thriller' | Rating: 7.3
Fair Game | Genres: 'Drama','Thriller' | Rating: 6.5
Go | Genres: 'Comedy','Crime','Thriller' | Rating: 7.0
Swingers | Genres: 'Comedy','Romance' | Rating: 6.8
The Helix... Loaded | Genres: 'Action','Comedy','ScienceFiction' | Rating: 4.8
I, Robot | Genres: 'Action','ScienceFiction' | Rating: 6.7
Escape from New York | Genres: 'Action','ScienceFiction' | Rating: 6.9
RoboCop | Genres: 'Action','ScienceFiction' | Rating: 5.7
"
Waterworld,"
Recommended Movies: 
Robin Hood: Prince of Thieves | Genres: 'Adventure' | Rating: 6.6
The Count of Monte Cristo | Genres: 'Action','Adventure','Drama','Thriller' | Rating: 7.3
Risen | Genres: 'Action' | Rating: 5.7
Rapa Nui | Genres: 'Adventure' | Rating: 6.2
Cotton Comes to Harlem | Genres: 'Action','Adventure' | Rating: 6.7
Indiana Jones and the Last Crusade | Genres: 'Action','Adventure' | Rating: 7.6
Cutthroat Island | Genres: 'Action','Adventure' | Rating: 5.7
The Legend of Tarzan | Genres: 'Action','Adventure' | Rating: 5.5
The Legend of Hercules | Genres: 'Action','Adventure' | Rating: 4.4
Robin Hood | Genres: 'Action','Adventure' | Rating: 6.2
"
G.I. Joe: The Rise of Cobra,"
Recommended Movies: 
Deep Rising | Genres: 'Action','Adventure','Horror','ScienceFiction' | Rating: 6.0
The Adventures of Huck Finn | Genres: 'Action','Adventure','Drama','Family' | Rating: 6.2
The Mummy Returns | Genres: 'Action','Adventure','Fantasy' | Rating: 6.0
Planet of the Apes | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.6
Star Trek V: The Final Frontier | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.6
Star Trek VI: The Undiscovered Country | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.7
Star Trek III: The Search for Spock | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.4
Star Trek II: The Wrath of Khan | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.3
Terminator Genisys | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.8
X-Men Origins: Wolverine | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.2
"
Inside Out,"
Recommended Movies: 
Monsters, Inc. | Genres: 'Animation','Comedy','Family' | Rating: 7.5
Up | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 7.7
Arthur Christmas | Genres: 'Animation','Comedy','Drama','Family' | Rating: 6.7
Mrs. Doubtfire | Genres: 'Comedy','Drama','Family' | Rating: 7.0
Ernest et Célestine | Genres: 'Animation','Comedy','Drama','Family' | Rating: 7.6
Hop | Genres: 'Animation','Comedy','Family' | Rating: 5.5
Stolen Summer | Genres: 'Comedy','Drama','Family' | Rating: 6.4
Bambi | Genres: 'Animation','Drama','Family' | Rating: 6.8
Fat Albert | Genres: 'Comedy','Drama','Family' | Rating: 4.3
Ice Princess | Genres: 'Comedy','Drama','Family' | Rating: 5.9
"
The Jungle Book,"
Recommended Movies: 
Zathura: A Space Adventure | Genres: 'Adventure','Family','Fantasy','ScienceFiction' | Rating: 6.1
Elf | Genres: 'Comedy','Family','Fantasy' | Rating: 6.4
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Iron Man 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Made | Genres: 'Action','Comedy','Thriller' | Rating: 6.3
The Neverending Story | Genres: 'Adventure','Drama','Family','Fantasy' | Rating: 7.0
Hugo | Genres: 'Adventure','Drama','Family' | Rating: 7.0
The Blue Bird | Genres: 'Drama','Family','Fantasy' | Rating: 6.4
Duma | Genres: 'Adventure','Drama','Family' | Rating: 6.9
The Adventurer: The Curse of the Midas Box | Genres: 'Adventure','Family','Fantasy' | Rating: 5.1
"
Iron Man 2,"
Recommended Movies: 
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Zathura: A Space Adventure | Genres: 'Adventure','Family','Fantasy','ScienceFiction' | Rating: 6.1
Made | Genres: 'Action','Comedy','Thriller' | Rating: 6.3
The Jungle Book | Genres: 'Adventure','Drama','Family','Fantasy' | Rating: 6.7
Elf | Genres: 'Comedy','Family','Fantasy' | Rating: 6.4
Iron Man 3 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
"
Snow White and the Huntsman,"
Recommended Movies: 
Cast Away | Genres: 'Adventure','Drama' | Rating: 7.5
Straight Out of Brooklyn | Genres: 'Drama' | Rating: 4.3
The Postman | Genres: 'Adventure','Drama' | Rating: 6.1
The Twilight Saga: Eclipse | Genres: 'Adventure','Drama','Fantasy','Romance' | Rating: 5.8
Enter the Void | Genres: 'Drama','Fantasy' | Rating: 7.2
The Twilight Saga: Breaking Dawn - Part 2 | Genres: 'Adventure','Drama','Fantasy','Romance' | Rating: 6.1
The Twilight Saga: New Moon | Genres: 'Adventure','Drama','Fantasy','Romance' | Rating: 5.6
Twilight | Genres: 'Adventure','Drama','Fantasy','Romance' | Rating: 5.8
The Legend of Bagger Vance | Genres: 'Drama','Fantasy' | Rating: 6.3
Heavenly Creatures | Genres: 'Drama','Fantasy' | Rating: 7.0
"
Maleficent,"
Recommended Movies: 
Eragon | Genres: 'Action','Adventure','Family','Fantasy' | Rating: 4.9
Prince of Persia: The Sands of Time | Genres: 'Action','Adventure','Fantasy','Romance' | Rating: 6.2
Clash of the Titans | Genres: 'Action','Adventure','Fantasy' | Rating: 5.6
Night at the Museum | Genres: 'Action','Adventure','Comedy','Family','Fantasy' | Rating: 6.3
The Hobbit: The Battle of the Five Armies | Genres: 'Action','Adventure','Fantasy' | Rating: 7.1
Mighty Joe Young | Genres: 'Action','Adventure','Family','Fantasy' | Rating: 5.9
The Hobbit: An Unexpected Journey | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Stormbreaker | Genres: 'Action','Adventure','Family' | Rating: 5.1
Conan the Destroyer | Genres: 'Action','Adventure','Fantasy' | Rating: 5.8
The Last Airbender | Genres: 'Action','Adventure','Family','Fantasy' | Rating: 4.7
"
Dawn of the Planet of the Apes,"
Recommended Movies: 
Cloverfield | Genres: 'Action','ScienceFiction','Thriller' | Rating: 6.4
Let Me In | Genres: 'Drama','Horror','Mystery' | Rating: 6.7
The Pallbearer | Genres: 'Comedy','Romance' | Rating: 4.6
Capricorn One | Genres: 'Action','Drama','ScienceFiction','Thriller' | Rating: 6.4
Elysium | Genres: 'Action','Drama','ScienceFiction','Thriller' | Rating: 6.4
Echo Dr. | Genres: 'Action','Drama','ScienceFiction','Thriller' | Rating: 5.0
The Day the Earth Stood Still | Genres: 'Drama','ScienceFiction','Thriller' | Rating: 5.2
The One | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.7
Volcano | Genres: 'Action','Drama','ScienceFiction','Thriller' | Rating: 5.2
Chain Reaction | Genres: 'Action','Drama','ScienceFiction','Thriller' | Rating: 5.3
"
The Lovers,"
Recommended Movies: 
The Scarlet Letter | Genres: 'Drama','History','Romance' | Rating: 5.5
There Be Dragons | Genres: 'Drama' | Rating: 5.9
The Host | Genres: 'Action','Adventure','Romance','ScienceFiction','Thriller' | Rating: 6.0
Logan's Run | Genres: 'Action','Adventure','Romance','ScienceFiction' | Rating: 6.6
Captain America: The First Avenger | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Fantastic Four | Genres: 'Action','Adventure','ScienceFiction' | Rating: 4.4
Divergent | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.9
Six-String Samurai | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
John Carter | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.1
2012 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.6
"
47 Ronin,"
Recommended Movies: 
In the Name of the King: A Dungeon Siege Tale | Genres: 'Action','Adventure','Drama','Fantasy' | Rating: 4.1
In the Name of the King III | Genres: 'Action','Adventure','Drama','Fantasy' | Rating: 3.3
天將雄師 | Genres: 'Action','Adventure','Drama' | Rating: 5.9
Warcraft | Genres: 'Action','Adventure','Fantasy' | Rating: 6.3
The Scorpion King | Genres: 'Action','Adventure','Fantasy' | Rating: 5.3
Chi bi | Genres: 'Action','Adventure','Drama' | Rating: 7.1
Immortals | Genres: 'Action','Drama','Fantasy' | Rating: 5.7
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
十面埋伏 | Genres: 'Action','Adventure','Drama','Romance' | Rating: 7.1
Centurion | Genres: 'Action','Adventure','Drama' | Rating: 5.9
"
Captain America: The Winter Soldier,"
Recommended Movies: 
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Welcome to Collinwood | Genres: 'Comedy' | Rating: 6.2
You, Me and Dupree | Genres: 'Comedy','Romance' | Rating: 5.4
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
AVP: Alien vs. Predator | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.5
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
Transformers: Dark of the Moon | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.1
2012 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.6
The Hunger Games: Mockingjay - Part 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
"
Shrek Forever After,"
Recommended Movies: 
Alvin and the Chipmunks: Chipwrecked | Genres: 'Animation','Comedy','Family','Fantasy','Music' | Rating: 5.4
Sky High | Genres: 'Adventure','Comedy','Family' | Rating: 5.8
Deuce Bigalow: Male Gigolo | Genres: 'Comedy' | Rating: 5.5
Shrek the Third | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.0
Shrek 2 | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.7
Shrek | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 7.3
Un monstre à Paris | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.5
Brave | Genres: 'Action','Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.7
The Lego Movie | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 7.5
The Emperor's New Groove | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 7.2
"
Tomorrowland,"
Recommended Movies: 
The Iron Giant | Genres: 'Adventure','Animation','Family','Fantasy','ScienceFiction' | Rating: 7.6
The Incredibles | Genres: 'Action','Adventure','Animation','Family' | Rating: 7.4
Mission: Impossible - Ghost Protocol | Genres: 'Action','Adventure','Thriller' | Rating: 6.8
Lost in Space | Genres: 'Adventure','Family','ScienceFiction' | Rating: 5.0
Earth to Echo | Genres: 'Adventure','Family','ScienceFiction' | Rating: 5.7
Prometheus | Genres: 'Adventure','Mystery','ScienceFiction' | Rating: 6.3
2001: A Space Odyssey | Genres: 'Adventure','Mystery','ScienceFiction' | Rating: 7.9
The Adventures of Sharkboy and Lavagirl | Genres: 'Adventure','Family','ScienceFiction' | Rating: 4.4
Clockstoppers | Genres: 'Adventure','Family','ScienceFiction','Thriller' | Rating: 4.9
Oblivion | Genres: 'Action','Adventure','Mystery','ScienceFiction' | Rating: 6.4
"
Big Hero 6,"
Recommended Movies: 
兔侠传奇 | Genres: 'Action','Adventure','Animation','Comedy','Family' | Rating: 3.0
The Adventures of Rocky & Bullwinkle | Genres: 'Action','Adventure','Animation','Comedy','Family' | Rating: 3.9
Kung Fu Panda 3 | Genres: 'Action','Adventure','Animation','Comedy','Family' | Rating: 6.7
Minions | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.4
A Bug's Life | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.8
The Incredibles | Genres: 'Action','Adventure','Animation','Family' | Rating: 7.4
Osmosis Jones | Genres: 'Action','Adventure','Animation','Comedy','Family' | Rating: 5.9
Deadpool | Genres: 'Action','Adventure','Comedy' | Rating: 7.4
Rugrats in Paris: The Movie | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.0
ParaNorman | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.7
"
Wreck-It Ralph,"
Recommended Movies: 
Bee Movie | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.7
Bolt | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.3
TMNT | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.0
Minions | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.4
Fantastic Mr. Fox | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 7.5
Zambezia | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.3
The Curse of the Were-Rabbit | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.8
The Lion of Judah | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.8
Stuart Little 2 | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.4
Cars 2 | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.8
"
The Polar Express,"
Recommended Movies: 
Beowulf | Genres: 'Action','Adventure','Animation' | Rating: 5.5
Back to the Future | Genres: 'Adventure','Comedy','Family','ScienceFiction' | Rating: 8.0
Back to the Future Part II | Genres: 'Adventure','Comedy','Family','ScienceFiction' | Rating: 7.4
Cast Away | Genres: 'Adventure','Drama' | Rating: 7.5
Back to the Future Part III | Genres: 'Adventure','Comedy','Family','ScienceFiction' | Rating: 7.1
Death Becomes Her | Genres: 'Comedy','Fantasy' | Rating: 6.3
A Christmas Carol | Genres: 'Animation','Drama' | Rating: 6.6
The Walk | Genres: 'Adventure','Drama','Thriller' | Rating: 6.9
Forrest Gump | Genres: 'Comedy','Drama','Romance' | Rating: 8.2
What Lies Beneath | Genres: 'Drama','Horror','Mystery','Thriller' | Rating: 6.3
"
Independence Day: Resurgence,"
Recommended Movies: 
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
2012 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.6
The Day After Tomorrow | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.2
The Patriot | Genres: 'Action','Drama','History','War' | Rating: 6.8
White House Down | Genres: 'Action','Drama','Thriller' | Rating: 6.4
Stonewall | Genres: 'Drama' | Rating: 5.2
Anonymous | Genres: 'Drama','History','Thriller' | Rating: 6.3
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
The Hunger Games: Mockingjay - Part 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
The Hunger Games: Catching Fire | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
"
How to Train Your Dragon,"
Recommended Movies: 
Lilo & Stitch | Genres: 'Animation','Family' | Rating: 7.1
Epic | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.4
Legend of the Guardians: The Owls of Ga'Hoole | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.5
Dragon Nest: Warriors' Dawn | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.8
The House of Magic | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.3
Arthur et les Minimoys | Genres: 'Adventure','Animation','Family','Fantasy' | Rating: 6.0
Mars Needs Moms | Genres: 'Adventure','Animation','Family' | Rating: 5.5
The Little Prince | Genres: 'Adventure','Animation','Fantasy' | Rating: 7.6
Савва. Сердце воина | Genres: 'Adventure','Animation','Fantasy' | Rating: 6.4
The Land Before Time | Genres: 'Adventure','Animation','Family' | Rating: 7.0
"
Terminator 3: Rise of the Machines,"
Recommended Movies: 
Surrogates | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.9
U-571 | Genres: 'Action','Drama','Thriller','War' | Rating: 6.1
Breakdown | Genres: 'Action','Drama','Thriller' | Rating: 6.6
Doomsday | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.8
Ultraviolet | Genres: 'Action','ScienceFiction','Thriller' | Rating: 4.8
Fortress | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.7
Rollerball | Genres: 'Action','ScienceFiction','Thriller' | Rating: 3.4
Terminator 2: Judgment Day | Genres: 'Action','ScienceFiction','Thriller' | Rating: 7.7
Terminator Salvation | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.9
The One | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.7
"
Guardians of the Galaxy,"
Recommended Movies: 
Super | Genres: 'Action','Comedy','Drama' | Rating: 6.6
Slither | Genres: 'Comedy','Horror','ScienceFiction' | Rating: 6.3
U.F.O. | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.1
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
Star Trek Into Darkness | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
AVP: Alien vs. Predator | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.5
Star Trek | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Star Wars | Genres: 'Action','Adventure','ScienceFiction' | Rating: 8.1
Star Trek Beyond | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
"
Interstellar,"
Recommended Movies: 
Inception | Genres: 'Action','Adventure','Mystery','ScienceFiction','Thriller' | Rating: 8.1
The Prestige | Genres: 'Drama','Mystery','Thriller' | Rating: 8.0
The Dark Knight Rises | Genres: 'Action','Crime','Drama','Thriller' | Rating: 7.6
The Dark Knight | Genres: 'Action','Crime','Drama','Thriller' | Rating: 8.2
Batman Begins | Genres: 'Action','Crime','Drama' | Rating: 7.5
Memento | Genres: 'Mystery','Thriller' | Rating: 8.1
Insomnia | Genres: 'Crime','Mystery','Thriller' | Rating: 6.8
The Martian | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 7.6
Midnight Special | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 6.2
20,000 Leagues Under the Sea | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 6.8
"
Inception,"
Recommended Movies: 
Memento | Genres: 'Mystery','Thriller' | Rating: 8.1
The Prestige | Genres: 'Drama','Mystery','Thriller' | Rating: 8.0
Interstellar | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 8.1
The Dark Knight | Genres: 'Action','Crime','Drama','Thriller' | Rating: 8.2
The Dark Knight Rises | Genres: 'Action','Crime','Drama','Thriller' | Rating: 7.6
Insomnia | Genres: 'Crime','Mystery','Thriller' | Rating: 6.8
Batman Begins | Genres: 'Action','Crime','Drama' | Rating: 7.5
Sky Captain and the World of Tomorrow | Genres: 'Action','Adventure','Mystery','ScienceFiction','Thriller' | Rating: 5.7
Congo | Genres: 'Action','Adventure','Drama','Mystery','ScienceFiction','Thriller' | Rating: 5.0
X-Men Origins: Wolverine | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.2
"
シン・ゴジラ,"
Recommended Movies: 
Gojira ni-sen mireniamu | Genres: 'Action','Adventure','Horror','ScienceFiction' | Rating: 5.9
X-Men | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
Resident Evil: Afterlife | Genres: 'Action','Adventure','Horror','ScienceFiction' | Rating: 5.8
Deep Rising | Genres: 'Action','Adventure','Horror','ScienceFiction' | Rating: 6.0
The Helix... Loaded | Genres: 'Action','Comedy','ScienceFiction' | Rating: 4.8
Megaforce | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.5
Transformers: Age of Extinction | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
Journey 2: The Mysterious Island | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
Ghosts of Mars | Genres: 'Action','Horror','ScienceFiction' | Rating: 4.8
The Huntsman: Winter's War | Genres: 'Action','Adventure','Drama' | Rating: 6.0
"
