movie_name,recommend_movie
Iron Man 2,"
Recommended Movies: 
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Iron Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
Captain America: Civil War | Genres: Action,Adventure,ScienceFiction | Rating: 7.1
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Captain America: The Winter Soldier | Genres: Action,Adventure,ScienceFiction | Rating: 7.6
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
"
Snow White and the Huntsman,"
Recommended Movies: 
Hereafter | Genres: Drama,Fantasy | Rating: 5.8
End of the Spear | Genres: Adventure,Drama | Rating: 6.1
The Wicked Lady | Genres: Adventure,Drama | Rating: 4.3
In the Name of the King III | Genres: Action,Adventure,Drama,Fantasy | Rating: 3.3
Do You Believe? | Genres: Drama,Fantasy | Rating: 6.6
The Barbarians | Genres: Adventure,Fantasy | Rating: 5.1
The Huntsman: Winter's War | Genres: Action,Adventure,Drama | Rating: 6.0
Bathory | Genres: Drama,Fantasy | Rating: 5.6
Noah | Genres: Adventure,Drama | Rating: 5.6
The Twilight Saga: Eclipse | Genres: Adventure,Drama,Fantasy,Romance | Rating: 5.8
"
Maleficent,"
Recommended Movies: 
Mighty Joe Young | Genres: Action,Adventure,Family,Fantasy | Rating: 5.9
Jack the Giant Slayer | Genres: Action,Family,Fantasy | Rating: 5.5
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
The Nutcracker: The Untold Story | Genres: Action,Family,Fantasy | Rating: 5.4
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Catch That Kid | Genres: Action,Adventure,Family | Rating: 4.9
Jonah: A VeggieTales Movie | Genres: Action,Adventure,Animation,Comedy,Family,Fantasy,Romance | Rating: 6.4
The Crocodile Hunter: Collision Course | Genres: Action,Adventure,Family | Rating: 5.3
G-Force | Genres: Action,Adventure,Comedy,Family,Fantasy | Rating: 5.1
"
Dawn of the Planet of the Apes,"
Recommended Movies: 
Elysium | Genres: Action,Drama,ScienceFiction,Thriller | Rating: 6.4
Rise of the Planet of the Apes | Genres: Action,Drama,ScienceFiction,Thriller | Rating: 7.0
Echo Dr. | Genres: Action,Drama,ScienceFiction,Thriller | Rating: 5.0
Outbreak | Genres: Action,Drama,ScienceFiction,Thriller | Rating: 6.3
Volcano | Genres: Action,Drama,ScienceFiction,Thriller | Rating: 5.2
Chain Reaction | Genres: Action,Drama,ScienceFiction,Thriller | Rating: 5.3
Megiddo: The Omega Code 2 | Genres: Action,ScienceFiction,Thriller | Rating: 3.6
Battle for the Planet of the Apes | Genres: Action,ScienceFiction | Rating: 5.5
Surrogates | Genres: Action,ScienceFiction,Thriller | Rating: 5.9
The Book of Eli | Genres: Action,ScienceFiction,Thriller | Rating: 6.6
"
The Lovers,"
Recommended Movies: 
Virgin Territory | Genres: Action,Adventure,Comedy,Romance | Rating: 4.3
Star Trek III: The Search for Spock | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
Caravans | Genres: Action,Adventure,Drama,Romance | Rating: 5.8
Womb | Genres: Romance,ScienceFiction | Rating: 5.9
कृष | Genres: Action,ScienceFiction | Rating: 5.5
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
天將雄師 | Genres: Action,Adventure,Drama | Rating: 5.9
Alatriste | Genres: Action | Rating: 5.6
Epic Movie | Genres: Action,Adventure,Comedy | Rating: 3.2
逃出生天 | Genres: Action | Rating: 5.8
"
47 Ronin,"
Recommended Movies: 
In the Name of the King III | Genres: Action,Adventure,Drama,Fantasy | Rating: 3.3
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
天將雄師 | Genres: Action,Adventure,Drama | Rating: 5.9
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
Rockaway | Genres: Action,Adventure,Drama | Rating: 5.8
Highway | Genres: Action,Adventure,Drama | Rating: 5.6
Mercy Streets | Genres: Action,Adventure,Drama | Rating: 5.5
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
Madison | Genres: Action,Adventure,Drama | Rating: 5.3
Exodus: Gods and Kings | Genres: Action,Adventure,Drama | Rating: 5.6
"
Captain America: The Winter Soldier,"
Recommended Movies: 
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
Captain America: Civil War | Genres: Action,Adventure,ScienceFiction | Rating: 7.1
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
Captain America: The First Avenger | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Guardians of the Galaxy | Genres: Action,Adventure,ScienceFiction | Rating: 7.9
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
"
Shrek Forever After,"
Recommended Movies: 
Un monstre à Paris | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.5
The House of Magic | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.3
The Nut Job | Genres: Adventure,Animation,Comedy,Family | Rating: 5.5
The Ant Bully | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 5.5
Penguins of Madagascar | Genres: Adventure,Animation,Comedy,Family | Rating: 6.5
Legend of the Guardians: The Owls of Ga'Hoole | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.5
Don Gato: El inicio de la pandilla | Genres: Animation,Comedy | Rating: 5.3
Delgo | Genres: Adventure,Animation,Comedy,Family,Fantasy,ScienceFiction | Rating: 5.4
Dragon Nest: Warriors' Dawn | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.8
Return to Never Land | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.1
"
Tomorrowland,"
Recommended Movies: 
The Adventures of Sharkboy and Lavagirl | Genres: Adventure,Family,ScienceFiction | Rating: 4.4
Earth to Echo | Genres: Adventure,Family,ScienceFiction | Rating: 5.7
Lost in Space | Genres: Adventure,Family,ScienceFiction | Rating: 5.0
The Lost Medallion: The Adventures of Billy Stone | Genres: Adventure,Family | Rating: 5.6
Rotor DR1 | Genres: Family,ScienceFiction | Rating: 4.7
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Doogal | Genres: Family | Rating: 3.2
The Oogieloves in the Big Balloon Adventure | Genres: Family | Rating: 2.2
Catch That Kid | Genres: Action,Adventure,Family | Rating: 4.9
"
Big Hero 6,"
Recommended Movies: 
兔侠传奇 | Genres: Action,Adventure,Animation,Comedy,Family | Rating: 3.0
Osmosis Jones | Genres: Action,Adventure,Animation,Comedy,Family | Rating: 5.9
The Adventures of Rocky & Bullwinkle | Genres: Action,Adventure,Animation,Comedy,Family | Rating: 3.9
The Nut Job | Genres: Adventure,Animation,Comedy,Family | Rating: 5.5
Penguins of Madagascar | Genres: Adventure,Animation,Comedy,Family | Rating: 6.5
Inspector Gadget | Genres: Action,Adventure,Comedy,Family | Rating: 4.3
Alpha and Omega: The Legend of the Saw Tooth Cave | Genres: Adventure,Animation,Comedy,Family | Rating: 6.5
Minions | Genres: Adventure,Animation,Comedy,Family | Rating: 6.4
Rugrats in Paris: The Movie | Genres: Adventure,Animation,Comedy,Family | Rating: 6.0
Paul Blart: Mall Cop | Genres: Action,Adventure,Comedy,Family | Rating: 5.2
"
Wreck-It Ralph,"
Recommended Movies: 
Alvin and the Chipmunks: The Road Chip | Genres: Adventure,Animation,Comedy,Family | Rating: 5.8
The Pirates! In an Adventure with Scientists! | Genres: Adventure,Animation,Comedy,Family | Rating: 6.4
Alpha and Omega: The Legend of the Saw Tooth Cave | Genres: Adventure,Animation,Comedy,Family | Rating: 6.5
Minions | Genres: Adventure,Animation,Comedy,Family | Rating: 6.4
Rugrats in Paris: The Movie | Genres: Adventure,Animation,Comedy,Family | Rating: 6.0
The Nut Job | Genres: Adventure,Animation,Comedy,Family | Rating: 5.5
Penguins of Madagascar | Genres: Adventure,Animation,Comedy,Family | Rating: 6.5
The Road to El Dorado | Genres: Adventure,Animation,Comedy,Family | Rating: 7.0
Zambezia | Genres: Adventure,Animation,Comedy,Family | Rating: 5.3
The Lion of Judah | Genres: Adventure,Animation,Comedy,Family | Rating: 5.8
"
The Polar Express,"
Recommended Movies: 
Legend of the Guardians: The Owls of Ga'Hoole | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.5
Dragon Nest: Warriors' Dawn | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.8
Return to Never Land | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.1
Epic | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.4
The House of Magic | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.3
Arthur et les Minimoys | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.0
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Shrek Forever After | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.0
Puss in Boots | Genres: Action,Adventure,Animation,Family,Fantasy | Rating: 6.4
Walking With Dinosaurs | Genres: Adventure,Animation,Family | Rating: 5.2
"
Independence Day: Resurgence,"
Recommended Movies: 
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
U.F.O. | Genres: Action,Adventure,ScienceFiction | Rating: 3.1
Star Trek Beyond | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Megaforce | Genres: Action,Adventure,ScienceFiction | Rating: 3.5
Steel | Genres: Action,Adventure,ScienceFiction | Rating: 4.3
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
The Lovers | Genres: Action,Adventure,Romance,ScienceFiction | Rating: 4.8
"
How to Train Your Dragon,"
Recommended Movies: 
Legend of the Guardians: The Owls of Ga'Hoole | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.5
Dragon Nest: Warriors' Dawn | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.8
Return to Never Land | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.1
Epic | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.4
The House of Magic | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.3
Arthur et les Minimoys | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.0
Савва. Сердце воина | Genres: Adventure,Animation,Fantasy | Rating: 6.4
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
The Polar Express | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.4
Shrek Forever After | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.0
"
Terminator 3: Rise of the Machines,"
Recommended Movies: 
Megiddo: The Omega Code 2 | Genres: Action,ScienceFiction,Thriller | Rating: 3.6
Surrogates | Genres: Action,ScienceFiction,Thriller | Rating: 5.9
The Terminator | Genres: Action,ScienceFiction,Thriller | Rating: 7.3
The One | Genres: Action,ScienceFiction,Thriller | Rating: 5.7
Impostor | Genres: Action,ScienceFiction,Thriller | Rating: 6.1
Terminator Salvation | Genres: Action,ScienceFiction,Thriller | Rating: 5.9
The Book of Eli | Genres: Action,ScienceFiction,Thriller | Rating: 6.6
Riddick | Genres: Action,ScienceFiction,Thriller | Rating: 6.2
Doomsday | Genres: Action,ScienceFiction,Thriller | Rating: 5.8
Fortress | Genres: Action,ScienceFiction,Thriller | Rating: 5.7
"
Guardians of the Galaxy,"
Recommended Movies: 
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
Captain America: Civil War | Genres: Action,Adventure,ScienceFiction | Rating: 7.1
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
"
Interstellar,"
Recommended Movies: 
Silent Running | Genres: Adventure,Drama,ScienceFiction | Rating: 6.3
Midnight Special | Genres: Adventure,Drama,ScienceFiction | Rating: 6.2
The Martian | Genres: Adventure,Drama,ScienceFiction | Rating: 7.6
Stargate: The Ark of Truth | Genres: Adventure,ScienceFiction | Rating: 6.9
The Giver | Genres: Drama,ScienceFiction | Rating: 6.4
End of the Spear | Genres: Adventure,Drama | Rating: 6.1
The Wicked Lady | Genres: Adventure,Drama | Rating: 4.3
Трудно быть богом | Genres: Drama,ScienceFiction | Rating: 6.7
A.I. Artificial Intelligence | Genres: Adventure,Drama,ScienceFiction | Rating: 6.8
The Road | Genres: Adventure,Drama | Rating: 6.8
"
Inception,"
Recommended Movies: 
Paycheck | Genres: Action,Adventure,Mystery,ScienceFiction,Thriller | Rating: 5.9
Sky Captain and the World of Tomorrow | Genres: Action,Adventure,Mystery,ScienceFiction,Thriller | Rating: 5.7
Star Trek III: The Search for Spock | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
The Core | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.4
Switchback | Genres: Action,Adventure,Mystery,Thriller | Rating: 5.8
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Killer Elite | Genres: Action,Adventure,Thriller | Rating: 6.1
The One | Genres: Action,ScienceFiction,Thriller | Rating: 5.7
Megiddo: The Omega Code 2 | Genres: Action,ScienceFiction,Thriller | Rating: 3.6
Ong Bak 2 | Genres: Action,Adventure,Thriller | Rating: 6.0
"
シン・ゴジラ,"
Recommended Movies: 
Gojira ni-sen mireniamu | Genres: Action,Adventure,Horror,ScienceFiction | Rating: 5.9
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
天將雄師 | Genres: Action,Adventure,Drama | Rating: 5.9
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Rockaway | Genres: Action,Adventure,Drama | Rating: 5.8
Highway | Genres: Action,Adventure,Drama | Rating: 5.6
Mercy Streets | Genres: Action,Adventure,Drama | Rating: 5.5
Deep Rising | Genres: Action,Adventure,Horror,ScienceFiction | Rating: 6.0
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
"
The Hobbit: An Unexpected Journey,"
Recommended Movies: 
The Hobbit: The Battle of the Five Armies | Genres: Action,Adventure,Fantasy | Rating: 7.1
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Lord of the Rings: The Fellowship of the Ring | Genres: Action,Adventure,Fantasy | Rating: 8.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Lord of the Rings: The Two Towers | Genres: Action,Adventure,Fantasy | Rating: 8.0
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
"
The Fast and the Furious,"
Recommended Movies: 
2 Fast 2 Furious | Genres: Action,Crime,Thriller | Rating: 6.2
Machine Gun Preacher | Genres: Action,Crime,Thriller | Rating: 6.4
Bullet to the Head | Genres: Action,Crime,Thriller | Rating: 5.2
Safe | Genres: Action,Crime,Thriller | Rating: 6.3
Code of Honor | Genres: Action,Crime,Thriller | Rating: 4.1
Shade | Genres: Action,Crime,Thriller | Rating: 6.1
Nighthawks | Genres: Action,Crime,Thriller | Rating: 6.4
放‧逐 | Genres: Action,Crime,Thriller | Rating: 7.0
Chicago Overcoat | Genres: Action,Crime,Thriller | Rating: 6.1
Checkmate | Genres: Action,Crime,Thriller | Rating: 4.2
"
The Curious Case of Benjamin Button,"
Recommended Movies: 
Ghost | Genres: Drama,Fantasy,Mystery,Romance,Thriller | Rating: 6.9
Winter's Tale | Genres: Drama,Fantasy,Mystery,Romance | Rating: 6.0
The Caveman's Valentine | Genres: Drama,Mystery,Thriller | Rating: 6.0
The Life Before Her Eyes | Genres: Drama,Mystery,Thriller | Rating: 6.1
Wicker Park | Genres: Drama,Mystery,Romance,Thriller | Rating: 6.7
Disturbia | Genres: Drama,Mystery,Thriller | Rating: 6.6
Angel Eyes | Genres: Drama,Romance,Thriller | Rating: 5.6
The Red Violin | Genres: Drama,Music,Mystery,Romance,Thriller | Rating: 7.3
The Sisterhood of Night | Genres: Drama,Mystery,Thriller | Rating: 6.5
Beloved | Genres: Drama,Thriller | Rating: 5.9
"
X-Men: First Class,"
Recommended Movies: 
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
X2 | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.8
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
"
The Hunger Games: Mockingjay - Part 2,"
Recommended Movies: 
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Pacific Rim | Genres: Action,Adventure,ScienceFiction | Rating: 6.7
Divergent | Genres: Action,Adventure,ScienceFiction | Rating: 6.9
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Star Trek Beyond | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Megaforce | Genres: Action,Adventure,ScienceFiction | Rating: 3.5
Steel | Genres: Action,Adventure,ScienceFiction | Rating: 4.3
"
The Sorcerer's Apprentice,"
Recommended Movies: 
In the Name of the King III | Genres: Action,Adventure,Drama,Fantasy | Rating: 3.3
Big Trouble in Little China | Genres: Action,Adventure,Comedy,Fantasy | Rating: 7.1
Practical Magic | Genres: Comedy,Drama,Fantasy | Rating: 6.3
MacGruber | Genres: Action,Adventure,Comedy | Rating: 5.1
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
The Huntsman: Winter's War | Genres: Action,Adventure,Drama | Rating: 6.0
The Brothers Grimm | Genres: Action,Adventure,Comedy,Fantasy,Thriller | Rating: 5.6
天將雄師 | Genres: Action,Adventure,Drama | Rating: 5.9
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
Last Holiday | Genres: Adventure,Comedy,Drama | Rating: 6.4
"
Poseidon,"
Recommended Movies: 
Extreme Ops | Genres: Action,Adventure,Drama,Thriller | Rating: 5.0
Undisputed | Genres: Action,Adventure,Drama,Thriller | Rating: 6.1
Tracker | Genres: Action,Adventure,Drama,Thriller | Rating: 6.0
Nowhere to Run | Genres: Action,Adventure,Drama,Thriller | Rating: 5.5
The Count of Monte Cristo | Genres: Action,Adventure,Drama,Thriller | Rating: 7.3
12 Rounds | Genres: Action,Adventure,Drama,Thriller | Rating: 5.7
The Marine | Genres: Action,Adventure,Drama,Thriller | Rating: 5.0
Walking Tall | Genres: Action,Adventure,Drama,Thriller | Rating: 6.0
Flight of the Intruder | Genres: Action,Adventure,Drama,Thriller | Rating: 5.7
Flight of the Phoenix | Genres: Action,Adventure,Drama,Thriller | Rating: 5.7
"
Alice Through the Looking Glass,"
Recommended Movies: 
Mirrormask | Genres: Fantasy | Rating: 6.6
Wolf | Genres: Fantasy | Rating: 6.0
Hereafter | Genres: Drama,Fantasy | Rating: 5.8
Снежная королева | Genres: Animation,Fantasy | Rating: 5.1
Iguana | Genres:  | Rating: 6.0
Sardaarji | Genres:  | Rating: 9.5
Do You Believe? | Genres: Drama,Fantasy | Rating: 6.6
The Book of Mormon Movie, Volume 1: The Journey | Genres:  | Rating: 5.0
Crowsnest | Genres:  | Rating: 4.8
Lisa Picard Is Famous | Genres:  | Rating: 4.0
"
Shrek the Third,"
Recommended Movies: 
Shrek Forever After | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.0
Un monstre à Paris | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.5
The Emperor's New Groove | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 7.2
The Ant Bully | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 5.5
Shrek 2 | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.7
The Croods | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 6.8
The Smurfs | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 5.5
The Lego Movie | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 7.5
Shrek | Genres: Adventure,Animation,Comedy,Family,Fantasy | Rating: 7.3
Legend of the Guardians: The Owls of Ga'Hoole | Genres: Adventure,Animation,Family,Fantasy | Rating: 6.5
"
Warcraft,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Red Sonja | Genres: Action,Adventure,Fantasy | Rating: 5.0
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
The Hobbit: The Battle of the Five Armies | Genres: Action,Adventure,Fantasy | Rating: 7.1
Conan the Destroyer | Genres: Action,Adventure,Fantasy | Rating: 5.8
"
Terminator Genisys,"
Recommended Movies: 
Star Trek III: The Search for Spock | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
A Sound of Thunder | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 4.8
The Core | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.4
Star Trek: Insurrection | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.3
Street Fighter: The Legend of Chun-Li | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 3.9
X2 | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.8
Escape from L.A. | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.6
Star Trek: Generations | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
Predator | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 7.3
X-Men Origins: Wolverine | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.2
"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"
Recommended Movies: 
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Alice in Wonderland | Genres: Adventure,Family,Fantasy | Rating: 6.4
Pan | Genres: Adventure,Family,Fantasy | Rating: 5.9
The Adventurer: The Curse of the Midas Box | Genres: Adventure,Family,Fantasy | Rating: 5.1
Inkheart | Genres: Adventure,Family,Fantasy | Rating: 6.0
The Indian in the Cupboard | Genres: Adventure,Family,Fantasy | Rating: 5.9
Harry Potter and the Half-Blood Prince | Genres: Adventure,Family,Fantasy | Rating: 7.4
The Chronicles of Narnia: Prince Caspian | Genres: Adventure,Family,Fantasy | Rating: 6.3
Percy Jackson & the Olympians: The Lightning Thief | Genres: Adventure,Family,Fantasy | Rating: 6.0
Pete's Dragon | Genres: Adventure,Family,Fantasy | Rating: 6.2
"
Pearl Harbor,"
Recommended Movies: 
A Guy Named Joe | Genres: Drama,Romance,War | Rating: 6.0
Passchendaele | Genres: Drama,History,Romance,War | Rating: 6.3
Dear John | Genres: Drama,Romance,War | Rating: 6.6
Oorlogswinter | Genres: Drama,History,War | Rating: 6.8
Solomon and Sheba | Genres: Drama,History,Romance,War | Rating: 5.4
Inchon | Genres: Drama,History,War | Rating: 6.5
Nomad | Genres: Action,History,War | Rating: 4.3
三城记 | Genres: Drama,History,Romance | Rating: 6.3
Cinco de Mayo: La Batalla | Genres: Drama,History,War | Rating: 5.8
Beneath Hill 60 | Genres: Drama,History,War | Rating: 7.3
"
Transformers,"
Recommended Movies: 
Transformers: Age of Extinction | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
Transformers | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
The Time Machine | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Pacific Rim | Genres: Action,Adventure,ScienceFiction | Rating: 6.7
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
Star Trek Beyond | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Megaforce | Genres: Action,Adventure,ScienceFiction | Rating: 3.5
"
Alexander,"
Recommended Movies: 
Flyboys | Genres: Action,Adventure,Drama,History,Romance,War | Rating: 6.3
The Last of the Mohicans | Genres: Action,Adventure,Drama,History,Romance,War | Rating: 7.1
Red Tails | Genres: Action,Adventure,Drama,History,War | Rating: 5.9
Supercross | Genres: Action,Adventure,Drama,Romance | Rating: 5.4
Arn: Tempelriddaren | Genres: Action,Adventure,Drama,Romance | Rating: 6.4
Caravans | Genres: Action,Adventure,Drama,Romance | Rating: 5.8
Tora! Tora! Tora! | Genres: Action,Adventure,Drama,History,War | Rating: 6.9
Solomon and Sheba | Genres: Drama,History,Romance,War | Rating: 5.4
Sands of Iwo Jima | Genres: Action,Drama,History,War | Rating: 6.2
태극기 휘날리며 | Genres: Action,Adventure,Drama,History,War | Rating: 7.4
"
